species,temperature_C,interval_cm,time_s
p,21.4,10,7.25
p,21.43,10,8.46
p,21.5,10,12.13
p,21.5,9,14.2
p,21.55,10,9.8
s,21.6,10,22.3
s,21.67,10,27.63
p,21.71,10,5.86
p,21.74,10,14.25
s,21.78,10,14.1
s,21.84,10,10.6
s,21.95,10,15.7
p,21.96,8,7.4
s,22,10,5.15
s,22,8,7.5
s,22,10,17.38
p,22,10,16.08
s,22,10,4.36
s,22,10,9.98
s,22,10,13.97
p,22,20,22.48
p,22,10,8.66
s,22,10,4.6
p,22,7,7.95
p,22,10,8.88
p,22,10,24.75
s,22,8,8.7
p,22,8,12.13
s,22.12,10,6.7
s,23.85,10,7.82
s,23.85,10,6.43
s,23.85,10,10.66
s,23.85,10,8.38
s,23.85,10,21.82
p,24.16,10,8.71
s,24.16,10,13.53
p,24.16,10,9.2
s,24.16,10,7.35
s,24.16,10,16.58
p,24.16,9,21.49
s,24.5,10,5.16
p,24.5,10,11.66
p,24.5,10,9.21
s,24.5,10,13.18
s,24.5,10,6.66
s,24.5,10,8.52
p,24.73,10,15.53
s,24.73,10,7.65
p,24.79,10,8.73
s,24.83,10,5.53
p,24.83,10,7.61
p,28.67,10,5.91
p,28.7,10,6.75
p,28.74,10,8.95
p,28.78,7,7.75
p,28.83,10,5.55
p,28.86,10,15.5
s,28.9,10,7.03
s,28.92,10,7.45
s,28.94,10,6.23
s,28.97,10,5.66
s,29,10,6.16
s,29.1,10,6.46
s,29.12,10,15.55
s,29.16,10,6.36
s,29.19,10,9.86
s,29.22,10,8.86
p,31.71,8,7.61
p,31.75,10,7.63
s,31.81,10,8.43
s,31.83,10,11.18
s,31.91,10,5.1
s,32.06,10,8.9
s,32.06,10,7.35
s,32.1,10,3.55
s,32.13,10,6.25
s,32.18,10,8.23
p,32.49,10,9.6
p,32.49,10,6.58
s,32.49,10,7.65
p,32.49,10,6.08
s,32.9,10,6.42
p,32.9,10,10.63
s,32.9,10,6.4
p,32.9,10,4.06
s,33.3,9,8.25
s,33.3,10,4.78
s,33.3,10,7.11
s,33.3,10,4.21
p,33.3,10,12.67
s,35.67,10,3.11
p,35.72,0,-99
s,35.75,10,6.83
s,35.8,10,5.45
p,35.85,10,5.65
s,35.92,10,6.25
p,36.01,4,11.5
s,36.11,10,20.18
s,36.16,10,7.55
p,36.2,10,4.13
p,36.28,0,-99
p,36.33,4,6.8
s,36.37,10,12.34
s,36.49,10,14.08
s,36.59,10,14.3
p,36.7,3,17.65
p,36.78,10,17.45
p,36.84,0,-99
s,36.86,10,10.81
s,36.88,10,3.16
s,36.93,10,5.31
s,36.94,10,10.76
s,36.98,10,5.17
s,37.02,10,4.78
s,37.08,10,4.93
s,37.09,10,7.56
s,37.17,10,3.86
s,37.24,10,5.7
s,37.27,10,12.06
s,37.32,6,8.03
p,37.35,10,18.36
s,37.38,10,15.53
s,37.41,10,6.2
s,37.49,10,5.95
s,37.53,10,4.6
s,37.66,10,19.66
s,37.75,10,4.63
s,38.28,10,22.93
s,38.46,10,6.38
s,38.8,10,3.76
s,39.02,10,5.8
s,39.27,10,19.92