temperatureC,species,number,leaf.mass.start,leaf.mass.end
20,b,1,0.3545,0.3552
20,b,2,0.2633,0.256
20,p,1,0.4585,0.484
20,p,2,0.4028,0.3646
20,p,3,1.0246,0.9616
20,s,1,0.9455,0.928
20,s,2,0.6972,0.7223
20,s,3,0.738,0.7484
25,b,1,0.6095,0.6206
25,b,2,0.5645,0.5452
25,p,1,1.0163,0.9891
25,p,2,0.6638,0.676
25,p,3,0.9609,0.948
25,s,1,0.7691,0.7686
25,s,2,0.6368,NA
25,s,3,0.3855,0.3735
30,b,1,0.7182,0.4834
30,b,2,0.7102,0.6469
30,p,1,1.6695,1.5742
30,p,2,0.8667,0.8384
30,p,3,1.0541,1.0232
30,s,1,0.5515,0.372
30,s,2,0.5308,0.4865
30,s,3,0.9344,0.8709
35,b,1,0.5271,0.4461
35,b,2,0.7047,0.4457
35,p,1,1.3525,1.261
35,p,2,0.8015,0.7748
35,p,3,1.3488,1.0432
35,s,1,0.8207,0.7296
35,s,2,0.7474,0.7344
35,s,3,0.6041,0.4967