time_ice_min,species,min,second,time
5,s,0,3,0.05
5,s,0,7,0.116666667
5,s,0,11,0.183333333
5,s,0,16,0.266666667
5,s,0,24,0.4
5,s,0,30,0.5
5,s,0,27,0.45
5,s,0,27,0.45
5,s,0,28,0.466666667
5,s,0,29,0.483333333
5,s,0,30,0.5
5,s,0,30,0.5
5,p,0,39,0.65
5,p,1,31,1.516666667
5,p,2,8,2.133333333
5,p,2,11,2.183333333
5,p,4,16,4.266666667
5,p,6,16,6.266666667
5,p,6,6,6.1
5,p,10,0,10
60,s,0,34,0.566666667
60,s,0,43,0.716666667
60,s,1,27,1.45
60,s,2,9,2.15
60,s,2,19,2.316666667
60,s,2,32,2.533333333
60,s,2,49,2.816666667
60,s,3,12,3.2
60,s,4,7,4.116666667
60,s,4,46,4.766666667
60,s,5,51,5.85
60,s,6,2,6.033333333
60,p,10,0,10
60,p,10,0,10
60,p,10,0,10
60,p,10,0,10
60,p,10,0,10
60,p,10,0,10
60,p,10,0,10
60,p,10,0,10
30,s,0,35,0.583333333
30,s,0,44,0.733333333
30,s,0,56,0.933333333
30,s,1,4,1.066666667
30,s,1,11,1.183333333
30,s,1,22,1.366666667
30,s,1,22,1.366666667
30,s,1,24,1.4
30,s,1,39,1.65
30,s,1,39,1.65
30,s,1,52,1.866666667
30,s,2,23,2.383333333
30,s,2,36,2.6